chembl_id,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL431611,9.921540667723608,0.034761844680224696,9.921540667723608,0.034761844680224696,0.5941082727825222,439.6210000000003,406.3570000000002,439.218114916,166.0,0.0,0.1361969929070499,-0.5079197921473773,0.5079197921473773,0.1361969929070499,0.967741935483871,1.7419354838709677,2.5161290322580645,1.2683719544017091,859.4558396973218,21.045394827624126,18.170849347339793,18.987345928267516,15.259152830872495,11.875981645829842,12.755634457084735,9.116291405020409,10.336151124995187,6.940675213350297,8.417904281799586,5.214866727794649,6.730082480881146,-1.8499999999999999,27044229.915994298,21.019786085915975,9.742595157577684,4.983558029551166,189.4844613733042,14.580253302440804,29.959383852112936,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,31.395199005701247,80.58599218369564,6.544756405912575,10.14542150549995,14.580253302440804,11.761884949391115,0.0,4.899909730850478,5.917906046161393,61.19513925373033,26.241151182250643,48.02802097092827,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,11.761884949391115,41.497526337924,0.0,5.917906046161393,56.61316923992737,47.360052954749044,0.0,0.0,0.0,41.93000000000001,0.0,5.106527394840706,0.0,6.103966387748303,16.91735590942747,29.546145512511078,63.59871566400421,6.06636706846161,23.894619086314336,29.16537800469692,9.473725907600098,12.55060496289774,1.8834744446758125,3.56728756739503,10.299012779175454,1.214356960312949,2.783667585631741,13.995566717314883,9.19632670812269,4.1763689411403675,0.0,0.5384615384615384,31.0,1.0,4.0,1.0,2.0,3.0,2.0,0.0,2.0,5.0,1.0,5.0,6.0,1.0,1.0,2.0,5.0,6.041500000000006,125.30680000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL316132,10.011540667723608,0.025502585420965618,10.011540667723608,0.025502585420965618,0.4721073100382263,467.67500000000035,430.37900000000025,467.249415044,178.0,0.0,0.13619699290702925,-0.5079197921473773,0.5079197921473773,0.13619699290702925,0.9090909090909091,1.6363636363636365,2.393939393939394,1.2852184562416427,888.5155463649097,22.45960838999722,19.585062909712885,20.401559490640608,16.259152830872495,12.87598164582984,13.755634457084735,9.823398186206955,11.043257906181731,7.440675213350298,8.917904281799586,5.5684201183879205,7.083635871474419,-1.8499999999999999,61353272.623642676,22.918280221525713,11.050243592356441,5.805649238892913,202.21434560209747,14.580253302440804,29.959383852112936,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,44.23684225155326,80.58599218369564,6.544756405912575,10.14542150549995,14.580253302440804,11.761884949391115,0.0,4.899909730850478,5.917906046161393,74.03678249958236,26.241151182250643,48.02802097092827,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,11.761884949391115,41.497526337924,0.0,5.917906046161393,69.4548124857794,47.360052954749044,0.0,0.0,0.0,41.93000000000001,0.0,5.106527394840706,0.0,6.103966387748303,16.91735590942747,29.546145512511078,76.44035890985624,6.06636706846161,23.894619086314336,29.16537800469692,9.473725907600098,12.665295467198634,1.901992963194331,3.5791923292997914,10.375679445842122,1.2211596814013843,2.7754911453025226,14.089478754351921,11.882007938935597,4.1763689411403675,0.0,0.5714285714285714,33.0,1.0,4.0,1.0,2.0,3.0,2.0,0.0,2.0,5.0,1.0,5.0,6.0,1.0,1.0,2.0,5.0,6.821700000000007,134.5408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL85881,9.977621056490685,0.024416039691562696,9.977621056490685,0.024416039691562696,0.48372853107784153,467.67500000000035,430.37900000000025,467.249415044,178.0,0.0,0.13593767313330848,-0.5079197921528108,0.5079197921528108,0.13593767313330848,0.9393939393939394,1.696969696969697,2.484848484848485,1.2537938513405729,890.5155463649096,22.45960838999722,19.585062909712885,20.401559490640608,16.24231607846689,12.859144893424235,13.738797704679127,9.885328878252144,11.166356404584345,7.421191357116544,8.73655423901467,5.558884350858715,7.010824635402732,-1.8499999999999999,55814691.88724195,22.918280221525713,11.050243592356441,5.990973589632195,202.21434560209747,14.580253302440804,29.959383852112936,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,50.657663874479276,74.16517056076962,6.544756405912575,10.14542150549995,14.580253302440804,11.761884949391115,0.0,4.899909730850478,5.917906046161393,74.03678249958236,26.241151182250643,48.02802097092827,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,11.761884949391115,41.497526337924,0.0,5.917906046161393,69.4548124857794,47.360052954749044,0.0,0.0,0.0,41.93000000000001,0.0,5.106527394840706,0.0,6.103966387748303,10.99944986326608,35.46405155867247,76.44035890985624,6.06636706846161,23.894619086314336,29.16537800469692,9.473725907600098,12.601446444564889,1.8798604990975814,3.569909826238879,10.33250057534994,1.2133471814013843,2.9049087562276195,14.036444980465873,11.952902093107582,4.17534631021292,0.0,0.5714285714285714,33.0,1.0,4.0,1.0,2.0,3.0,2.0,0.0,2.0,5.0,1.0,5.0,7.0,1.0,1.0,2.0,5.0,6.821700000000007,134.5408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL85536,9.945934812740049,-0.07439915305220146,9.945934812740049,0.07439915305220146,0.460848173556091,461.6270000000004,430.37900000000025,461.202464852,172.0,0.0,0.13625155953002957,-0.5079197921470586,0.5079197921470586,0.13625155953002957,0.9393939393939394,1.7272727272727273,2.515151515151515,1.2859906271947874,1034.7679580664117,22.45960838999722,18.858930080538652,19.675426661466375,16.24231607846689,11.898637015148879,12.778289826403771,8.835313477988164,10.116341004320367,6.410516730042825,7.700096188877742,4.630906008349443,5.99023914411582,-2.6299999999999994,55814691.88724195,22.17653144861381,10.534546601525221,5.655904310595671,200.0876182753111,14.580253302440804,29.959383852112936,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,48.88539110215728,73.81071600630523,6.544756405912575,10.14542150549995,14.580253302440804,11.761884949391115,0.0,4.899909730850478,0.0,41.93267438495229,26.241151182250643,83.92330780493333,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,11.761884949391115,41.497526337924,6.4208216229260096,0.0,36.49333423992032,77.6918882970571,0.0,0.0,0.0,41.93000000000001,0.0,5.106527394840706,0.0,17.10341625101438,0.0,41.530418627134075,37.91542917230017,23.894619086314336,12.13273413692322,53.430846278543356,9.473725907600098,12.506262758818883,1.781045306353817,3.4850218142457847,10.147388405673377,2.426301754009671,2.0054995687083474,24.25443913726635,4.785307204429846,4.108734050493922,0.0,0.35714285714285715,33.0,1.0,4.0,0.0,2.0,2.0,3.0,0.0,3.0,5.0,1.0,5.0,7.0,0.0,1.0,1.0,5.0,6.0940000000000065,133.49479999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL83451,9.916767267622827,-0.15107148865310838,9.916767267622827,0.05386100034073582,0.5282863278164859,448.5880000000004,420.3640000000002,448.182063756,166.0,0.0,0.14000726156974644,-0.5079197906328521,0.5079197906328521,0.14000726156974644,0.96875,1.75,2.53125,1.3120604098866968,1023.001801004049,21.75250160881067,18.021686625662436,18.838183206590163,15.759152830872495,11.27524158151421,12.154894392769105,8.308286571738279,9.491683025132668,6.078332940161231,7.42459572283648,4.351512068060103,5.675687953159486,-2.6999999999999997,35650231.40461669,21.161771681591503,9.838972519347482,4.86517034284993,192.94232414186095,14.580253302440804,29.959383852112936,0.0,0.0,0.0,0.0,9.883888251797686,0.0,0.0,11.761884949391115,18.55355575984923,79.52262852030245,18.93844354913873,10.14542150549995,14.580253302440804,11.761884949391115,0.0,9.883888251797686,0.0,35.51185276202628,26.241151182250643,78.11789374277465,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,11.761884949391115,41.23156682888904,0.0,0.0,41.74327226990249,71.88647423489842,0.0,0.0,0.0,54.82000000000001,0.0,5.106527394840706,0.0,17.10341625101438,6.606881964512918,34.06616653139215,32.35197768060318,23.894619086314336,42.725522485534206,22.016622388720908,9.473725907600098,12.448776152478562,1.711530000231368,7.590934938498731,9.970628267963562,2.242841370047394,1.9331508791049687,17.601789680805368,7.424195469898622,4.076153240971426,0.0,0.34615384615384615,32.0,1.0,5.0,0.0,2.0,2.0,2.0,1.0,3.0,6.0,1.0,6.0,6.0,0.0,1.0,1.0,5.0,5.619000000000006,126.53880000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL315761,9.863329767622828,-0.1985251923568121,9.863329767622828,0.046138999659264046,0.5246283026076237,437.5610000000004,410.3450000000002,437.166079344,162.0,0.0,0.14309250987709463,-0.5079197905718683,0.5079197905718683,0.14309250987709463,1.032258064516129,1.8709677419354838,2.6451612903225805,1.294168610347816,983.2664100048331,21.045394827624126,17.405371051436717,18.221867632364443,15.259152830872495,10.909995073052523,11.789647884307417,8.043159220049423,9.226555673443812,5.867299483441876,7.173704547494106,4.215985067926309,5.4972202291379,-2.57,27044229.915994298,20.33923328397538,9.283989919689803,4.700645470642985,186.51700542499128,18.997404239494152,40.969569300969546,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,18.55355575984923,73.95917702860545,6.544756405912575,11.158646471156832,18.997404239494152,11.761884949391115,0.0,4.899909730850478,0.0,35.51185276202628,26.241151182250643,72.18416552236499,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,11.761884949391115,36.247588307941825,0.0,0.0,41.94006819707994,70.17310102436468,0.0,0.0,0.0,55.07000000000001,0.0,5.106527394840706,0.0,17.10341625101438,6.606881964512918,34.262962458569596,32.35197768060318,30.157782081953393,30.33183534230805,17.032643867773697,13.890876844653445,18.067688471763322,1.6501874076387755,3.3926433644728546,9.817190767963563,1.065745849201838,2.7407017780894343,17.265270032747356,5.436941521011281,4.063630807111579,0.0,0.36,31.0,1.0,5.0,0.0,2.0,2.0,2.0,1.0,3.0,6.0,1.0,6.0,6.0,0.0,1.0,1.0,5.0,5.817000000000006,121.00980000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL25228,13.555988441672966,-1.4546702569916858,13.555988441672966,0.07177332661459679,0.6486355020854964,354.36100000000005,340.2490000000001,354.08920892799995,130.0,0.0,0.1859552168924608,-0.5079662479650808,0.5079662479650808,0.1859552168924608,0.7037037037037037,1.2962962962962963,1.9259259259259258,1.8397616341560319,1134.2376700668196,18.758784066134833,14.139127002203155,14.139127002203155,13.02974776737078,8.569563501101577,8.569563501101577,6.8302721915816305,6.8302721915816305,5.4188138050240555,5.4188138050240555,4.236208315768719,4.236208315768719,-3.6599999999999993,2608638.3747732867,15.583685278823818,5.174645720555619,1.86801490853678,154.5805484688449,10.213054789681411,16.91401413596459,11.566489892729878,0.0,0.0,0.0,9.589074368143644,0.0,0.0,0.0,42.46456947923127,52.604947385840575,11.126902983393991,0.0,19.802129157825057,23.215614529633026,0.0,0.0,0.0,5.41499046939678,0.0,94.54729521156271,0.0,11.49902366656781,0.0,0.0,11.49902366656781,0.0,21.77954468241129,5.41499046939678,0.0,37.40633182662862,66.73003775307771,0.0,11.64912463690315,0.0,74.60000000000001,5.41499046939678,19.802129157825057,0.0,23.06551355929769,33.39036198855425,0.0,18.19910120538483,54.60695665452676,0.0,0.0,0.0,0.0,0.0,27.111976883345932,19.51989037284131,1.8329767153775096,-0.33781347106743786,18.00876881923058,1.7808673469387755,0.0,0.0,0.043478260869565216,27.0,2.0,4.0,2.0,0.0,2.0,3.0,0.0,3.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,3.969000000000001,100.8656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL432454,14.165558325602968,-1.532972816250008,14.165558325602968,0.06195085432692471,0.5076945794356357,481.5480000000002,454.3320000000003,481.18892296399997,182.0,0.0,0.18609289350359032,-0.5079662479650808,0.5079662479650808,0.18609289350359032,0.8055555555555556,1.5277777777777777,2.3055555555555554,1.3657218884092406,1401.3367082419777,24.863232072819912,19.866986087283184,19.866986087283184,17.479237510153954,12.421729681501795,12.421729681501795,9.742841177290492,9.742841177290492,7.607709059455773,7.607709059455773,5.8316973644580035,5.8316973644580035,-3.899999999999999,266209907.39903092,22.556826091062984,8.64213733855558,3.438319027789582,209.00269101580218,14.94991774348146,29.270407933761412,11.566489892729878,0.0,0.0,0.0,14.48898409899412,0.0,0.0,0.0,24.619922828310838,96.73520464890258,17.671659389306566,0.0,24.5389921116251,23.215614529633026,0.0,4.899909730850478,0.0,24.67745533817481,26.241151182250643,88.4809281431011,0.0,17.248535499851716,4.736862953800049,0.0,17.248535499851716,0.0,52.920605595512406,5.41499046939678,0.0,56.66879669540665,60.6636706846161,0.0,11.64912463690315,0.0,87.07000000000001,5.41499046939678,19.802129157825057,0.0,23.06551355929769,45.746755786351066,19.634269217737724,37.46156607416286,48.54058958606515,0.0,4.899909730850478,4.736862953800049,5.997874711868219,0.0,30.59494460367469,19.880564549490618,1.5787452023733284,0.14730853826357349,16.352141087518362,5.503851897782262,3.5279027423622757,0.0,0.26666666666666666,36.0,2.0,6.0,2.0,1.0,3.0,3.0,0.0,3.0,6.0,2.0,6.0,5.0,0.0,1.0,1.0,6.0,4.8337000000000065,136.65159999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL419110,9.859005236884606,-0.04681222939384977,9.859005236884606,0.043747890030305214,0.6435911534393507,427.61000000000035,394.3460000000002,427.21811491600005,162.0,0.0,0.13643627714218276,-0.5079197921419142,0.5079197921419142,0.13643627714218276,1.0666666666666667,1.8,2.5,1.4384155287287173,840.4625079737019,21.13961743368831,18.265071953403975,19.081568534331698,14.39799805120625,11.014826866163595,11.89447967741849,9.393765046689426,10.57716150008381,5.897249506412167,7.678453543298051,4.186455685802256,5.570967357743279,-1.85,6464174.98293002,21.384641060059927,9.107469196440068,5.064250766773137,184.12535041243686,14.580253302440804,29.959383852112936,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,39.3247673589211,67.24143336107899,6.544756405912575,10.14542150549995,14.580253302440804,11.761884949391115,0.0,4.899909730850478,5.41499046939678,56.283064361098155,26.241151182250643,48.02802097092827,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,11.761884949391115,41.497526337924,0.0,5.41499046939678,51.70109434729521,47.360052954749044,0.0,0.0,0.0,41.93,0.0,5.106527394840706,0.0,22.518406720411164,0.0,35.10959700420807,32.35197768060318,23.894619086314336,6.06636706846161,49.936589603768795,9.473725907600098,12.432177107959468,1.7931503706017384,3.4977304091621724,10.092958829817935,1.200720591083995,2.031504841060121,13.733583850093922,3.938418448263118,10.863088885290868,0.0,0.52,30.0,1.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,5.0,1.0,5.0,5.0,0.0,1.0,1.0,4.0,5.897400000000006,122.80380000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL85090,9.966540667723608,0.030132215050595157,9.966540667723608,0.030132215050595157,0.5456632509529101,453.6480000000003,418.3680000000002,453.23376498,172.0,0.0,0.13619699290702925,-0.5079197921473773,0.5079197921473773,0.13619699290702925,0.9375,1.6875,2.46875,1.2754143092743455,874.9702408273635,21.75250160881067,18.87795612852634,19.694452709454062,15.759152830872495,12.375981645829842,13.255634457084735,9.469844795613682,10.68970451558846,7.190675213350298,8.667904281799585,5.391643423091285,6.9068591761777824,-1.8499999999999999,35650231.40461669,21.967620565543882,10.39039273589287,5.203210036052606,195.84940348770084,14.580253302440804,29.959383852112936,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,37.81602062862726,80.58599218369564,6.544756405912575,10.14542150549995,14.580253302440804,11.761884949391115,0.0,4.899909730850478,5.917906046161393,67.61596087665635,26.241151182250643,48.02802097092827,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,11.761884949391115,41.497526337924,0.0,5.917906046161393,63.033990862853386,47.360052954749044,0.0,0.0,0.0,41.93000000000001,0.0,5.106527394840706,0.0,6.103966387748303,16.91735590942747,29.546145512511078,70.01953728693023,6.06636706846161,23.894619086314336,29.16537800469692,9.473725907600098,12.607950215048186,1.8927337039350718,3.5732399483474104,10.337346112508788,1.2177583208571667,2.7795793654671317,14.042522735833401,10.539167323529144,4.1763689411403675,0.0,0.5555555555555556,32.0,1.0,4.0,1.0,2.0,3.0,2.0,0.0,2.0,5.0,1.0,5.0,6.0,1.0,1.0,2.0,5.0,6.431600000000007,129.92380000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
